cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,CACHOEIRO DE ITAPEMIRIM-ES-SUMICITY
CAMBÉ,CAMBE,PR,LIGUE,Sudeste 1,,,,CAMBE-PR-LIGUE
CAMBUCI,CAMBUCI,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,CAMBUCI-RJ-SUMICITY
CAMOCIM,CAMOCIM,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,CAMOCIM-CE-MOB
CAMPO DO MEIO,CAMPO DO MEIO,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,CAMPO DO MEIO-MG-UNIVOX
CAMPO GRANDE,CAMPO GRANDE,MS,LIGUE,Sudeste 1,T2,Mato Grosso do Sul,T2,CAMPO GRANDE-MS-LIGUE
CAMPO MOURÃO,CAMPO MOURAO,PR,LIGUE,Sudeste 1,T1,Paraná,T1,CAMPO MOURAO-PR-LIGUE
CAMPOS ALTOS,CAMPOS ALTOS,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,CAMPOS ALTOS-MG-CLICK
CAMPOS DOS GOYTACAZES,CAMPOS DOS GOYTACAZES,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,CAMPOS DOS GOYTACAZES-RJ-SUMICITY
CAMPOS GERAIS,CAMPOS GERAIS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,CAMPOS GERAIS-MG-UNIVOX
CAMPOS SALES,CAMPOS SALES,CE,MOB,Nordeste,T12,Juazeiro,T12,CAMPOS SALES-CE-MOB
Camutanga,CAMATUNGA,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,CAMATUNGA-PE-MOB
CANTAGALO,CANTAGALO,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,CANTAGALO-RJ-SUMICITY
